code,name,type,icao_state,country,iso2,eurocontrol_member,eurocontrol_entry,fab,min_fl,max_fl,airac_cfmu,source_features
AGGGFIR,HONIARA FIR,FIR,AG,,,false,,,0,999,524,1
ANAUFIR,NAURU FIR,FIR,AN,,,false,,,0,999,524,1
AYPMFIR,PORT MORESBY,FIR,AY,,,false,,,0,999,524,1
BGGLFIR,SONDESTROM FIR,FIR,BG,,,false,,,0,999,524,1
BGGLFIRS,NUUK FIR SOUTH,FIR,BG,,,false,,,0,195,524,1
BGGLFIRU,NUUK FIR UPPER,FIR,BG,,,false,,,195,999,524,1
BIRDFIR,REYKJAVIK FIR,FIR,BI,Iceland,IS,true,2025-01-01,,0,999,524,1
BODO,BODO INTERNATIONAL AIRSPACE,OTHER,BO,,,false,,,0,999,524,1
CZEGFIR,EDMONTON FLIGHT INFORMATION REGION,FIR,CZ,,,false,,,0,999,524,1
CZQMFIR,MONCTON FLIGHT INFORMATION REGION,FIR,CZ,,,false,,,0,999,524,1
CZQXFIR,GANDER NAT RVSM,FIR,CZ,,,false,,,0,999,524,2
CZULFIR,MONTREAL FIR,FIR,CZ,,,false,,,0,999,524,1
CZVRFIR,VANCOUVER FLIGHT INFORMATION REGION,FIR,CZ,,,false,,,0,999,524,1
CZWGFIR,WINNIPEG FLIGHT INFORMATION REGION,FIR,CZ,,,false,,,0,999,524,1
CZYZFIR,TORONTO FLIGHT INFORMATION REGION,FIR,CZ,,,false,,,0,999,524,1
DAAAFIR,ALGER FIR,FIR,DA,,,false,,,0,999,524,1
DGACFIR,GHANA,FIR,DG,,,false,,,0,999,524,1
DNKKFIR,NIGERIA,FIR,DN,,,false,,,0,999,524,1
DRRRFIR,D REGION,FIR,DR,,,false,,,0,245,524,1
DRRRUIR,NIAMEY UIR,UIR,DR,,,false,,,245,999,524,1
DTTCFIR,TUNIS FIR,FIR,DT,,,false,,bluemed,0,245,524,1
DTTCUIR,TUNIS UIR,UIR,DT,,,false,,bluemed,245,999,524,1
EBBUFIR,BRUSSELS FIR,FIR,EB,Belgium,BE,true,1960-12-13,fabec,0,195,524,1
EBURUIR,BRUSSELS UIR,UIR,EB,Belgium,BE,true,1960-12-13,fabec,195,999,524,1
EDGGFIR,LANGEN FIR,FIR,ED,Germany,DE,true,1960-12-13,fabec,0,245,524,1
EDMMFIR,MUNCHEN FIR,FIR,ED,Germany,DE,true,1960-12-13,fabec,0,245,524,1
EDUUUIR,RHEIN UIR,UIR,ED,Germany,DE,true,1960-12-13,fabec,245,999,524,1
