change,airspace_id,code,icao_state,detail
added,AGGGFIR,AGGG,AG,HONIARA FIR
added,ANAUFIR,ANAU,AN,NAURU FIR
added,AYPMFIR,AYPM,AY,PORT MORESBY
added,BGGLFIRS,BGGL,BG,NUUK FIR SOUTH
added,BGGLFIRU,BGGL,BG,NUUK FIR UPPER
added,BIRDFIR,BIRD,BI,REYKJAVIK FIR
added,CZEGFIR,CZEG,CZ,EDMONTON FLIGHT INFORMATION REGION
added,CZQMFIR,CZQM,CZ,MONCTON FLIGHT INFORMATION REGION
added,CZQXFIR,CZQX,CZ,GANDER NAT RVSM
added,CZULFIR,CZUL,CZ,MONTREAL FIR
added,CZVRFIR,CZVR,CZ,VANCOUVER FLIGHT INFORMATION REGION
added,CZWGFIR,CZWG,CZ,WINNIPEG FLIGHT INFORMATION REGION
added,CZYZFIR,CZYZ,CZ,TORONTO FLIGHT INFORMATION REGION
added,DRRRUIR,DRRR,DR,NIAMEY UIR
added,FACAFIR,FACA,FA,CAPE TOWN FIR
added,FAJAFIR,FAJA,FA,JOHANNESBURG FIR
added,FAJOFIR,FAJO,FA,JOHANNESBURG OCEANIC FIR
added,FBGRFIR,FBGR,FB,GABORONE FIR
added,FCCCFIR,FCCC,FC,BRAZZAVILLE FIR
added,FCCCUIR,FCCC,FC,BRAZZAVILLE UIR
added,FIMMFIR,FIMM,FI,MAURITIUS FIR
added,FLFIFIR,FLFI,FL,LUSAKA FIR
added,FMMMFIR,FMMM,FM,ANTANANARIVO FIR
added,FMMMUIR,FMMM,FM,ANTANANARIVO UIR
added,FNANFIR,FNAN,FN,LUANDA FIR
added,FNANUIR,FNAN,FN,LUANDA UIR
added,FQBEFIR,FQBE,FQ,BEIRA FIR
added,FSSSFIR,FSSS,FS,SEYCHELLES FIR
added,FTTTFIR,FTTT,FT,N'DJAMENA FIR
added,FTTTUIR,FTTT,FT,N'DJAMENA UIR
added,FVHFFIR,FVHF,FV,HARARE FIR
added,FVHFUIR,FVHF,FV,HARARE UIR
added,FWLLFIR,FWLL,FW,LILONGWE FIR
added,FYWFFIR,FYWF,FY,WINDHOEK FIR
added,FZZAFIR,FZZA,FZ,KINSHASA FIR
added,FZZAUIR,FZZA,FZ,KINSHASA UIR
added,GCCCFIRH,GCCC,GC,CANARIAS FIR SAHARA AREA
added,GCCCFIRR,GCCC,GC,CANARIAS FIR
added,GCCCUIRN,GCCC,GC,CANARIS UIR
added,GCCCUIRS,GCCC,GC,CANARIAS UIR
added,GOOOUIR,GOOO,GO,DAKAR UIR
added,GVSCUIR,GVSC,GV,SAL OCEANIC UIR
added,HBBAUIR,HBBA,HB,BUJUMBURA UIR
added,HRYRUIR,HRYR,HR,KIGALI UIR
added,HSSSUIR,HSSS,HS,KHARTOUM UIR
added,KZABFIR,KZAB,KZ,ALBUQUERQUE
added,KZABUIR,KZAB,KZ,ALBUQUERQUE
added,KZAKFIR,KZAK,KZ,OAKLAND OCEANIC FIR
added,KZAUFIR,KZAU,KZ,CHICAGO
added,KZAUUIR,KZAU,KZ,CHICAGO
added,KZBWFIR,KZBW,KZ,BOSTON FIR
added,KZBWUIR,KZBW,KZ,BOSTON UIR
added,KZDCFIR,KZDC,KZ,WASHINGTON
added,KZDCUIR,KZDC,KZ,WASHINGTON
added,KZDVFIR,KZDV,KZ,DENVER
added,KZDVUIR,KZDV,KZ,DENVER
added,KZFWFIR,KZFW,KZ,FT WORTH
added,KZFWUIR,KZFW,KZ,FT WORTH
added,KZHUFIR,KZHU,KZ,HOUSTON FIR
added,KZIDFIR,KZID,KZ,INDIANAPOLIS
added,KZIDUIR,KZID,KZ,INDIANAPOLIS
added,KZJXFIR,KZJX,KZ,JACKSONVILLE
added,KZJXUIR,KZJX,KZ,JACKSONVILLE
added,KZKCFIR,KZKC,KZ,KANSAS CITY
added,KZKCUIR,KZKC,KZ,KANSAS CITY
added,KZLAFIR,KZLA,KZ,LOS ANGELES
added,KZLAUIR,KZLA,KZ,LOS ANGELES
added,KZLCFIR,KZLC,KZ,SALT LAKE CITY
added,KZLCUIR,KZLC,KZ,SALT LAKE CITY
added,KZMAFIR,KZMA,KZ,MIAMI FIR / UIR
added,KZMEFIR,KZME,KZ,MEMPHIS
added,KZMEUIR,KZME,KZ,MEMPHIS
added,KZMPFIR,KZMP,KZ,MINNEAPOLIS
added,KZMPUIR,KZMP,KZ,MINNEAPOLIS
added,KZNYFIR,KZNY,KZ,NEW YORK FIR
added,KZNYUIR,KZNY,KZ,NEW YORK UIR
added,KZOAFIR,KZOA,KZ,OAKLAND FIR
added,KZOBFIR,KZOB,KZ,CLEVELAND
added,KZOBUIR,KZOB,KZ,CLEVELAND
added,KZSEFIR,KZSE,KZ,SEATTLE
added,KZSEUIR,KZSE,KZ,SEATTLE
added,KZTLFIR,KZTL,KZ,ATLANTA FIR
added,KZTLUIR,KZTL,KZ,ATLANTA
added,LPPO,LPPO,LP,REROUTING EXTENSION IN LPPO
added,MDCSFIR,MDCS,MD,SANTO DOMINGO FIR
added,MDCSUIR,MDCS,MD,SANTO DOMINGO UIR
added,MHCCFIR,MHCC,MH,CENTRAL AMERICA FIR
added,MHCCUIR,MHCC,MH,CENTRAL AMERICA UIR
added,MKJKFIR,MKJK,MK,KINGSTON FIR
added,MKJKUIR,MKJK,MK,KINGSTON UIR
added,MMFOFIR,MMFO,MM,OCEANICA MAZATLAN
added,MMFRFIR,MMFR,MM,MEXICO
added,MPZLFIR,MPZL,MP,PANAMA FIR
added,MTEGFIR,MTEG,MT,PORT-AU-PRINCE FIR
added,MUFHFIR,MUFH,MU,HABANA FIR/UIR
added,NFFFFIR,NFFF,NF,NADI FIR
added,NTTTFIR,NTTT,NT,TAHITI OCEANIC FIR
added,NZZCFIR,NZZC,NZ,NEW ZEALAND FIR
added,NZZOFIR,NZZO,NZ,AUCKLAND OCEANIC
added,OAKXFIR,OAKX,OA,KABUL FIR
added,OBBBFIR,OBBB,OB,BAHRAIN FIR
added,OBBBUIR,OBBB,OB,BAHRAIN UIR
added,OEJDFIR,OEJD,OE,JEDDAH FIR
added,OKACFIR,OKAC,OK,KUWAIT FIR
added,OLBBUIR,OLBB,OL,BEIRUT UIR
added,OMAEUIR,OMAE,OM,EMIRATES UIR
added,OOMMFIR,OOMM,OO,MUSCAT FIR
added,OPKRFIR,OPKR,OP,KARACHI FIR
added,OPLRFIR,OPLR,OP,LAHORE FIR
added,OTDFFIR,OTDF,OT,QATAR FIR
added,OYSCFIR,OYSC,OY,SANAA FIR
added,PAZAFIR,PAZA,PA,ALASKA FIR
added,RCAAFIR,RCAA,RC,TAIPEI FIR
added,RKRRFIR,RKRR,RK,INCHEON FIR
added,RPHIFIR,RPHI,RP,MANILA FIR
added,SACFFIR,SACF,SA,CORDOBA FIR
added,SAEFFIR,SAEF,SA,EZEIZA FIR
added,SAMFFIR,SAMF,SA,MENDOZA FIR
added,SARRFIR,SARR,SA,RESISTENCIA FIR
added,SAVFFIR,SAVF,SA,COMODORO RIVADAVIA FIR
added,SBAOFIR,SBAO,SB,ATLANTICO FIR
added,SBAZFIR,SBAZ,SB,AMAZONICA FIR
added,SBBSFIR,SBBS,SB,BRASILIA FIR
added,SBCWFIR,SBCW,SB,CURITIBA FIR
added,SBREFIR,SBRE,SB,RECIFE FIR
added,SCCZFIR,SCCZ,SC,PUNTA ARENAS FIR
added,SCEZFIR,SCEZ,SC,SANTIAGO FIR
added,SCFZFIR,SCFZ,SC,ANTOFAGASTA FIR
added,SCIZFIR,SCIZ,SC,ISLA DE PASCUA FIR
added,SCTZFIR,SCTZ,SC,PUERTO MONTT FIR
added,SEFGFIR,SEFG,SE,GUAYAQUIL FIR/UIR
added,SGFAFIR,SGFA,SG,ASUNCION FIR/UIR
added,SKECFIR,SKEC,SK,BARRANQUILLA FIR
added,SKEDFIR,SKED,SK,BOGOTA FIR
added,SLLFFIR,SLLF,SL,LA PAZ FIR
added,SMPMFIR,SMPM,SM,PARAMARIBO FIR
added,SOOOFIR,SOOO,SO,FIR CAYENNE
added,SOOOUIR,SOOO,SO,UIR CAYENNE
added,SPIMFIR,SPIM,SP,LIMA FIR
added,SUEOFIR,SUEO,SU,MONTEVIDEO FIR
added,SVZMFIR,SVZM,SV,MAIQUETIA FIR
added,SYGCFIR,SYGC,SY,GEORGETOWN FIR
added,TJZSFIR,TJZS,TJ,SAN JUAN OCEANIC FIR/UIR
added,TNCFFIR,TNCF,TN,CURACAO FIR
